,국가,거래처명,구분,채널,영업담당자 ,,거래처 정보,특이사항 (e.g. 포지셔닝),Contact Point,거래상태,총판여부,거래 시작 시점,물류 구조,수금 조건(전/후),인코텀즈,"판매 채널 (온/오프라인 여부, 매장 수 등)",취급 브랜드 수,관련 링크,히스토리 
1제일 중요,미국,Unlockt,벤더,Target,김윤정,,,마스크 target전용 (타공버전) 생산,"장성만 대표님 <sungman@unlocktbrands.com>,
방혜주 매니저 <hazel@unlocktbrands.com>
허재석 매니저<jaeseok@unlocktbrands.com / 010-9490-8046> 
포워더 국민해운 윤병주 과장님 sales6@nsclog.co.kr",운영 중 ,비독점,2024/10,"직납
포워더 [국민해운]과 직접 소통",50% / 50% (Net-30),"FOB
(요청시 EXW 가능 / 운임비 올리브 부담)","Omni 
마스크 - 전매장 (SKU별 상이)
성분 스킨케어/밀터 - 610개 ","성분에디터, 밀크터치","판매 추이 
[TARGET K-Beauty] SungboonEditor <> UnlocktBrands
8월 런칭 관련
2026 Target 8월 런칭 (성분에디터 / 밀크터치) ","25.02 콜라겐 마스크 런칭 -> 콜라겐 마스크 확장 26.08기준 총 8SKU 입점 (부스트업, 그토 마스크 포함)
FOS,Endcap,Sidecap 등 Asile 프로모로 판매 추이 급중 & 프로모 진행 없이도 안정적인 판매 추이 유지 (히어로 SKU 히알루 콜라겐 마스크) 
26.08 성분에디터 스킨케어 / 밀크터치 -> 610개 매장 입점 (ULTA Beauty *Target 공간 공실 생기면서 런칭 가능해짐)"
4기타,미국,Unlockt,벤더,Ross Stores,김윤정,,,,"장성만 대표님 <sungman@unlocktbrands.com>,
방혜주 매니저 <hazel@unlocktbrands.com>
허재석 매니저<jaeseok@unlocktbrands.com / 010-9490-8046> 
포워더 국민해운 윤병주 과장님 sales6@nsclog.co.kr",종료,비독점,2024/11,"직납
포워더 [국민해운]과 직접 소통",100% 선불,"FOB
(요청시 EXW 가능 / 운임비 올리브 부담)",오프라인,성분에디터,,"저가 할인 매장 / TJX와 동일 포지션  (TJX 미팅에서 Ross 판매 안했으면 좋갰다는 의견)
정기발주형태 X / 년에 2-3번 발주 진행"
2중요,미국,Unlockt,벤더,Nordstorm,김윤정,,,,"장성만 대표님 <sungman@unlocktbrands.com>,
방혜주 매니저 <hazel@unlocktbrands.com>
허재석 매니저<jaeseok@unlocktbrands.com / 010-9490-8046> 
포워더 국민해운 윤병주 과장님 sales6@nsclog.co.kr",논의 중,비독점,,"직납
포워더 [국민해운]과 직접 소통",TBD,TBD,"Omni 
매장 수 TBD",성분에디터,,"25.5월 런칭(K뷰티 섹션, 89개 전매장) 가능했으나 ULTA 독점 계약으로 인해 불발"
4기타,미국,Unlockt,채널,Heyskinday,김윤정,,"언락드 자체 운영 B2C 채널 
B2B 사이트 ",,"장성만 대표님 <sungman@unlocktbrands.com>,
방혜주 매니저 <hazel@unlocktbrands.com>
허재석 매니저<jaeseok@unlocktbrands.com / 010-9490-8046> 
포워더 국민해운 윤병주 과장님 sales6@nsclog.co.kr",운영 중 ,비독점,2025/10,"직납
포워더 [국민해운]과 직접 소통",50% / 50% (Net-30),"FOB
(요청시 EXW 가능 / 운임비 올리브 부담)",온라인,"성분에디터, 밀크터치",,
2중요,미국,Burlington,채널,Burlington,김윤정,,,,"바잉팀 allysa.zych@burlington.com

스킨케어 바이어 <Alyssa.Munoz@burlington.com>
스킨케어 어시스턴트<Kiandra.Frayre@burlington.com>,
스킨케어 어시스턴트 <Ally.Gardner@burlington.com>",논의 중,비독점,,,,,,,,"코스모 마이애미에서 첫 미팅  & 코스모 볼로냐에서 한번 더 미팅 진행 
- 단상자 제작해서 마스크(리브랜딩 전 디자인 포함) 세트 
- 색조는 5개 세트 (ex.디어씽 터치팟 5개입 세트 등) 제안 필요 "
1제일 중요,미국,Landing International,벤더,ULTA,김윤정,,26년 8월까지 미국내 성분에디터 채널 확장 어려움 ,할인 프로모션 진행 시 무조건 아마존 채널과 협의 필요함,"Primary contact point / Biweekly call: @Ashleigh Farrimond @Miyah Gaston @KC Giddings
PO / Logistics: John Dezes (john@landingintl.com), @Serena Chi (지상은 대리, 한국 쉬핑 일정 조율 관련)
Inventory / Planning: @KC Giddings @John Dezes 
Finance: @KC Giddings @Payments (payments@landingintl.com)",운영 중 ,조건부 독점,"2025/04
ULTA 런칭일
온라인: 07/13
오프라인 (콜라겐 5SKU) 08/10","직납
랜딩이 포워더와 소통 ",100% 선불,FOB,"Omni 
전매장 1,383ea (SKU 별 상이)",성분에디터,"판매추이 & 마케팅 캘린더
SUNGBOON EDITOR Brand Dashboard 2026
SKU TEMPLATE (체적/이미지 / 서류 공유)
Sungboon Editor SKU Template + Photos
MilkTouch - SKU Template","25.08~ 26.08까지 채널 확장 어려운 조건부 독점 계약 
프레스티지 라인으로 입점 / 프레스티지 퀄리티 유지 필요 (할인 매장 X)
기존 입점 되어있는 채널들은 유지 가능 (Target 포함) "
2중요,미국,Landing International,벤더,Old Navy,김윤정,안나,,,예솔 과장님 <sol@landingintl.com/ 010-8870-0611>,논의 중,비독점,,"직납
랜딩이 포워더와 소통 ",100% 선불,FOB,"오프라인 
TBD (500개 예상)",밀크터치,,
1제일 중요,"미국, 캐나다","Most 
Muskat Beauty",벤더,Costco,김윤정,,,"1. 가격 Saving이 가장 중요
(아마존 등 타채널 가격 모니터링 필수)
2. 오프라인 -> 인라인 런칭 위해 주당 $10K 달성 필요","윤수민 파트장님 <soomin@mstbeauty.com/ 010-8827-5120>
정다은 대표님 <daniella@mstbeauty.com>,
김현지 매니저 <hyeonji@mstbeauty.com>, / 김다연 매니저<dayeon@mstbeauty.com>,",운영 중 ,비독점,2025/11,벤더 경유 ,"50% 선불
50% 모스트 창고 도착 후",FCA,"온라인 
Omni TBD",성분에디터,"판매추이
[MOST Inc.] SUNGBOON EDITOR_COSTCO USA",
2중요,캐나다,바른손,벤더,kiokii,김윤정,,3개월 독점 논의 중,"MOA 
FOC 10% 지원  MOA ₩50,000,000
[전매장 VMD 지원 + FOC 10%] 조건 MOA ₩80,000,000",한지영 매니저 <hanwusu9@jolse.com / 010-4790-1973>,운영 중 ,비독점,2025/11,벤더 경유 ,100% 선불,간접 수출(영세),"Omni
26.04기준 6개",밀크터치,,
2중요,캐나다,예스비,벤더,kiokii,김윤정,,,"바른손-> 예스비-> 키오키 
바른손 거래 종료 후 중간 벤더인 예스비와 직거래 전환",배명하 매니저  <mhbae@yesbee.com> / 010-4811-6737,운영 중 ,독점,2026.04,벤더 경유 ,,,,밀크터치,,
